Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Oxley,5UX,OXHL.SI,742.479,1364.171,13.89,1.44,Real Estate,71
OxPay Financial,TVV,OXPA.SI,47.937,17.544,,,Industrial & Commercial Services,
Pacific Andes,P11,PACF.SI,186.575,1134.662,,,Food & Beverages,50
Pacific Century,P15,PCEN.SI,1046.019,28.709,17.82,9.27,Holding Companies,67
Pacific Radiance,T8V,PACI.SI,76.661,65.173,,,Energy - Fossil Fuels,87
Pacific Star Dev,1C5,PACS.SI,22.207,3.512,,,Real Estate,58
Pan Hong,P36,PANH.SI,73.58,94.566,2.79,10.56,Real Estate,60
PanUnited,P52,PANU.SI,287.818,586.872,15.34,3.9,Mineral Resources,87
Parkson Retail,O9E,PRAL.SI,23.028,135.262,1.37,,Retailers,62
ParkwayLife Reit,C2PU,PWLR.SI,2952.412,120.705,8.9,2.47,Real Estate,95.4
Pavillon,596,PAVI.SI,12.408,9.362,,,Cyclical Consumer Services,53
PEC,IX2,PECL.SI,149.593,399.111,6.27,4.27,Energy - Fossil Fuels,77
Pegasus SPAC,PGS,PEGA.SI,143.157,,,,Holding Companies,
Penguin Intl,BTM,PGUN.SI,133.203,132.649,10.51,3.72,Transportation,92
Pharmesis Intl,BFK,PHAR.SI,2.228,10.861,9.25,,Pharmaceuticals & Medical Research,68
PlatoCapital,YYN,PLAT.SI,12.665,1.064,,,Software & IT Services,
PNE Industries,BDA,PNEI.SI,66.714,64.644,,6.29,Industrial Goods,49
Polaris,5BI,POLA.SI,51.16,54.227,300,,Retailers,66
Pollux Prop,5AE,PLPS.SI,71.746,9.127,18.06,,Real Estate,64
Powermatic Data,BCY,PMDS.SI,100.248,27.03,12.76,2.68,Technology Equipment,69
Prime US ReitUSD,OXMU,PRIE.SI,856.616,156.741,11.8,9.41,Real Estate,63.3
Procurri,BVQ,PROC.SI,125.626,249.628,28.26,,Software & IT Services,88
Progen,583,POGN.SI,14.839,3.946,,,Industrial & Commercial Services,64
PropNex,OYY,PROP.SI,621.6,978.543,10.51,7.44,Real Estate,90
Prudential USD,K6S,PRU.L,26603.365,21268.105,14.37,1.36,Insurance,
PSC Corporation,DM0,PSCC.SI,228.399,533.269,11.31,1.88,Applied Resources,87
Q&M Dental,QC7,QMDT.SI,482.933,208.619,17.12,6.47,Healthcare Services,89
QAF,Q01,QAFS.SI,488.978,558.976,22.01,5.88,Food & Beverages,74
Qian Hu,BCV,QIAN.SI,22.478,80.003,13.08,1.52,Food & Beverages,103
Quantum Health,V8Y,,,,,,,
Raffles Edu,NR7,RLSE.SI,93.341,102.514,,,Academic & Educational Services,67
Raffles Infrastructure,LUY,RAFL.SI,4.887,6.54,4.57,,Industrial & Commercial Services,70
Raffles Medical,BSL,RAFG.SI,2100.75,723.791,24.97,1.61,Healthcare Services,92
RE&S Hldg,1G1,RESH.SI,74.34,128.534,13.73,8.1,Cyclical Consumer Services,91
Reclaims Global,NEX,RECL.SI,15.72,36.484,3.24,8.33,Industrial & Commercial Services,86
Reenova Investment,5EC,REEN.SI,20.698,0,,,Banking & Investment Services,66
Regal Intl,UV1,REGI.SI,25.605,19.358,,,Real Estate,49
Renaissance United,I11,RENA.SI,6.181,67.932,,,Utilities,35
Resources Gbl,QSD,RESU.SI,103.5,133.328,6.98,0.87,Energy - Fossil Fuels,
Revez,RCU,REVE.SI,20.1,7.529,,,Software & IT Services,
Rex Intl,5WH,REXI.SI,365.378,218.805,3.9,1.79,Energy - Fossil Fuels,94
RH PetroGas,T13,RHPG.SI,194.231,113.859,5.3,,Energy - Fossil Fuels,75
RHT HealthTrust,RF1U,RHTH.SI,15.996,0,,,Real Estate,46.2
Rich Capital,5G4,RICH.SI,22.47,,,,Real Estate,56
Riverstone,AP4,RVHL.SI,1080.409,966.709,2.43,16.73,Healthcare Services,74
Sabana Reit,M1GU,SABA.SI,486.964,81.913,9.73,5.63,Real Estate,61.1
Sakae,5DO,SAKA.SI,15.336,18.441,8.74,11.11,Cyclical Consumer Services,73
Samko Timber,E6R,SAMT.SI,49.752,369.608,,,Applied Resources,85
SamuderaShipping,S56,SAMU.SI,379.703,727.582,2.13,1.76,Transportation,80
Samurai 2K,Y8E,SAMR.SI,109.312,34.695,19.62,2.63,Chemicals,
Sanli Env,1E3,SANL.SI,21.129,62.623,18.66,0.9,Industrial & Commercial Services,71
Santak,580,SATK.SI,5.917,11.131,,,Industrial Goods,72
Sapphire,BRD,SAPP.SI,28.901,99.115,,,Industrial & Commercial Services,64
Sarine Tech,U77,SARI.SI,157.003,85.764,6.88,6.24,Industrial Goods,79
Sasseur Reit,CRPU,SASS.SI,1002.208,134.85,8.09,8.89,Real Estate,86.9
SATS,S58,SATS.SI,4957.088,1098.997,444.11,1.36,Transportation,128
SBI Offshore,5PL,SBIO.SI,9.726,0,,,Energy - Fossil Fuels,68
SBS Transit,S61,SBVV.SI,901.29,1310.842,17.45,2.84,Transportation,107
Second Chance,528,SECD.SI,203.815,36.279,17.87,2.27,Retailers,59
Secura,43B,SECU.SI,27.2,37.269,11.15,5.88,Industrial & Commercial Services,78
Sembcorp Ind,U96,SCIL.SI,5058.76,7795,18.37,1.77,Utilities,111
Sembcorp Marine,S51,SCMN.SI,3013.354,1862.215,,,Industrial Goods,98
Sen Yue,5BS,SENY.SI,22.443,175.106,,,Mineral Resources,58
Serial System,S69,SERL.SI,110.515,1236.959,7.12,5.45,Industrial Goods,93
Seroja Inv,IW5,SERO.SI,31.647,0,,,Transportation,70
Sevens Atelier,5EW,PANA.SI,18.85,22.24,,,Utilities,73
SGX,S68,SGXL.SI,10362.782,1056.755,25.07,3.31,Banking & Investment Services,118
Shanaya,SES,SHAA.SI,12.635,,,,Industrial & Commercial Services,
Shanghai Turbo,AWM,SHTU.SI,5.639,12.875,,,Industrial Goods,49
Shangri-La HKD,S07,0069.HK,19608.574,9739.008,,,Cyclical Consumer Services,
Shen Yao,A78,SHEY.SI,67.412,89.191,,,Mineral Resources,57
Sheng Siong,OV8,SHEN.SI,2285.376,1390.168,16.77,4.08,Food & Drug Retailing,70
Shenshan,BKV,CHIS.SI,30.295,37.522,11.62,,Food & Beverages,53
Shopper360,1F0,SHOP.SI,13.137,45.983,8.43,7.76,Cyclical Consumer Services,73
SHS,566,SEEH.SI,111.57,55.2,,,Industrial & Commercial Services,80
SIA,C6L,SIAL.SI,16019.184,7614.8,,,Transportation,96
SIA Engineering,S59,SIAE.SI,2810.291,566.131,41.65,2,Transportation,101
SIIC Environment,BHK,SIIC.SI,527.315,1529.236,3.55,7.32,Utilities,63
Silkroad Nickel,STP,SILK.SI,107.531,36.865,33.35,,Mineral Resources,79
Silverlake Axis,5CP,SLVX.SI,854.178,212.095,15.77,1.63,Financial Technology (Fintech) & Infrastructure,100
Sim Leisure,URR,SIMI.SI,27.01,5.549,,,Cyclical Consumer Services,47
Sin Heng Mach,BKA,SIHM.SI,48.253,53.73,12.68,2.38,Industrial Goods,63
Sinarmas Land,A26,SINA.SI,932.61,895,5.99,0.44,Industrial & Commercial Services,82
Sincap,5UN,SINC.SI,17.172,5.053,,,Energy - Fossil Fuels,39
Sing Inv & Fin,S35,SINV.SI,228.558,73.392,7.27,5.52,Banking & Investment Services,109
Sing Paincare,FRQ,SINR.SI,35.925,14.402,9.01,3.75,Healthcare Services,
SingaporeKitchen,5WG,SING.SI,9.145,26.353,3.6,,Cyclical Consumer Products,75
SingaporeLandGrp,U06,SIND.SI,3581.667,607.141,10.81,1.4,Real Estate,75
SingHoldings,5IC,SHDS.SI,156.388,121.73,15.9,2.56,Real Estate,75
SingMedical,5OT,SMGL.SI,148.418,100.84,9.46,2.13,Healthcare Services,73
SingPost,S08,SPOS.SI,1564.409,1665.579,22.03,1.62,Transportation,113
SingShipping,S19,SSHP.SI,113.08,61.427,8.67,1.75,Industrial Goods,71
Singtel,Z74,STEL.SI,44424.367,15871.9,42.72,2.57,Telecommunications Services,118
Singtel 10,Z77,,,,,,,
Sinjia Land,5HH,SINJ.SI,14.212,0.398,,,Cyclical Consumer Services,76
Sino Grandness,T4B,SOGF.SI,23.434,603.955,,,Food & Beverages,42
SinoCloud,5EK,SINL.SI,15.754,1.237,,,Software & IT Services,32
Sinostar Pec,C9Q,SNSR.SI,153.397,970.66,3.14,2.5,Energy - Fossil Fuels,65
Sitra,5LE,SITR.SI,19.283,26.621,,,Applied Resources,82
SLB Dev,1J0,SLBD.SI,100.43,63.235,5.06,0.91,Real Estate,66
SMI Vantage,Y45,SMIV.SI,20.198,,,,Banking & Investment Services,65
Soilbuild Const,S7P,SOIL.SI,57.204,258.28,,7.35,Industrial & Commercial Services,83
Soon Lian,5MD,SNLN.SI,21.06,53.575,3.38,,Mineral Resources,78
Soup Holdings,5KI,SOUP.SI,25.372,29.631,30.25,2.35,Cyclical Consumer Services,72
Southern Arch,A33,SOUE.SI,55.142,3.904,,,Real Estate,31
Southern Pkg,BQP,SOUT.SI,44.243,158.302,15.32,0.71,Applied Resources,66
SouthernAlliance,QNS,SOUH.SI,314.648,104.686,8.64,2.46,Mineral Resources,
SP Corp,AWE,SPPS.SI,21.059,50.269,,,Retailers,74
Spackman,40E,SPAC.SI,7.734,20.618,4.56,,Cyclical Consumer Services,79
SPHREIT,SK6U,SPHR.SI,2664.896,278.857,14.79,,Real Estate,85.8
Spindex Ind,564,SNEX.SI,118.826,214.548,5.79,4.37,Industrial Goods,68
Spura Finance,S23,SBDS.SI,130.122,29.623,13.53,2.44,Banking & Investment Services,88
Sri Trang Agro,NC2,STA.BK,36556.801,114695.703,3.21,17.44,Automobiles & Auto Parts,61
Sri Trang Gloves,STG,STGT.BK,54688.293,39235.582,3.72,24.35,Healthcare Services,
ST Engineering,S63,STEG.SI,12521.206,7692.865,22.04,3.49,Industrial Goods,90
ST Group Food,DRX,STGR.SI,28.689,43.336,22.07,1.44,Cyclical Consumer Services,69
Stamford Land,H07,SFLD.SI,572.379,156.69,13.51,1.26,Cyclical Consumer Services,82
Stamford Tyres,S29,STAS.SI,41.543,186.368,29.31,7.14,Automobiles & Auto Parts,74
StarhillGbl Reit,P40U,STHL.SI,1287.441,183.838,21.32,5.68,Real Estate,85.6
StarHub,CC3,STAR.SI,2131.753,2042.6,15.19,5.2,Telecommunications Services,93
Straco,S85,STRA.SI,343.227,41.911,29.19,2.53,Cyclical Consumer Services,75
Straits Trading,S20,STCM.SI,1323.992,637.987,5.3,2.62,Mineral Resources,64
SunMoonFood,AAJ,SMFC.SI,24.984,37.732,,,Food & Beverages,67
Sunpower,5GD,SUNP.SI,313.882,597.336,5.4,0.76,Industrial Goods,63
Sunright,S71,SNRT.SI,44.21,104.471,,0.83,Technology Equipment,54
Sunrise Shares,581,SUNR.SI,9.002,0.577,143.33,,Real Estate,58
Suntar Eco-City,BKZ,SECL.SI,7.709,2.217,462.67,,Pharmaceuticals & Medical Research,70
Suntec Reit,T82U,SUNT.SI,5080.367,358.069,10.97,4.52,Real Estate,83.2
SUTL Enterprise,BHU,SUTL.SI,40.454,20.353,8.12,4.3,Cyclical Consumer Services,72
Swiber,BGK,SWBR.SI,51.246,1186.62,,,Energy - Fossil Fuels,35
Swing Media Tech,BEV,SWMT.SI,26.16,200.122,,,Cyclical Consumer Services,50
Sysma,5UO,SYSM.SI,43.065,55.813,8.75,7.83,Industrial & Commercial Services,52
TA,PA3,TACO.SI,35.747,218.171,,,Real Estate,63
Tai Sin Electric,500,TAIS.SI,178.251,338.57,23.12,5.84,Industrial Goods,78
Taka Jewellery,42L,TAKA.SI,34.496,97.958,12.63,,Retailers,88
TalkMed,5G3,TALK.SI,508.991,60.746,20.34,4.16,Healthcare Services,79
Tat Seng Pkg,T12,TASE.SI,113.184,367.513,4.85,5.56,Applied Resources,75
TC Auto,VI2,TRAS.SI,116.711,929.384,6.1,2.75,Automobiles & Auto Parts,
TCIL HK$,T15,0693.HK,3825.287,11864.957,10.12,3.42,Retailers,
TEE Intl,M1Z,TEEI.SI,20.741,81.108,,,Industrial & Commercial Services,34
Teho Intl,5OQ,TEHO.SI,6.121,54.936,2.62,,Industrial Goods,77
TeleChoice Intl,T41,TCIN.SI,59.075,194.35,,0.96,Technology Equipment,89
ThaiBev,Y92,TBEV.SI,17659.51,10109.1,16.6,2.58,Food & Beverages,56
Thakral,AWI,THAK.SI,82.442,127.796,4.78,6.35,Real Estate,82
The Place Hldg,E27,THEP.SI,441.049,1.18,,,Cyclical Consumer Services,50
TheHourGlass,AGS,HRGS.SI,1614.477,925.517,13.93,2.62,Retailers,76
Thomson Medical,A50,THOS.SI,2088.844,269.137,112.86,0.19,Healthcare Services,62
TIH,T55,TIHL.SI,56.796,16.033,5.17,4.26,Collective Investments,67
Tiong Seng,BFI,TISE.SI,61.59,293.386,,1.87,Industrial & Commercial Services,68
Tiong Woon,BQM,TION.SI,123.085,121.44,8.72,0.57,Industrial Goods,71
TJ DaRenTang USD,T14,TIAN.SI,1960.725,1038.976,7.21,,Pharmaceuticals & Medical Research,76
Top Glove,BVA,TPGC.KL,11900.299,9271.045,4.22,29.59,Healthcare Services,
Tosei,S2D,8923.T,54623.223,62940.574,7.3,3.39,Real Estate,
Totm Tech,42F,TOTM.SI,122.3,13.404,,,Financial Technology (Fintech) & Infrastructure,63
Travelite,BCZ,TRHL.SI,5.68,20.354,,,Retailers,60
Trek 2000 Intl,5AB,TRKL.SI,25.399,51.55,,,Technology Equipment,51
Trendlines,42T,THET.SI,86.805,3.177,9.1,,Banking & Investment Services,92
TrickleStar,CYW,TRIC.SI,16.402,15.586,,1,Industrial Goods,65
Tritech,5G9,TTGL.SI,34.506,27.813,,,Industrial & Commercial Services,65
Triyards,RC5,TRIY.SI,27.823,160.448,,,Energy - Fossil Fuels,46
TSH,KUH,TSHC.SI,4.968,5.168,,,Cyclical Consumer Services,
TT Intl,T09,TINL.SI,14.916,32.718,,,Retailers,37
TTJ,K1Q,TTJH.SI,59.15,83.56,21.42,4.73,Industrial & Commercial Services,56
Tuan Sing,T24,TSHS.SI,467.363,245.341,5.45,1.82,Real Estate,101
Tung Lok Rest,540,TGLK.SI,33.751,57.464,,,Cyclical Consumer Services,62
Tye Soon,BFU,TYES.SI,37.96,225.33,8.5,1.95,Automobiles & Auto Parts,51
UGHealthcare,8K7,UGHE.SI,137.242,296.262,1.59,1.85,Healthcare Services,
UMS,558,UMSH.SI,771.116,271.22,14.44,4.17,Technology Equipment,76
Uni-Asia Grp,CHJ,UAFC.SI,92.002,95.869,3.66,4.24,Real Estate,89
Union Gas,1F2,UNIO.SI,217.569,123.04,12.84,2.63,Utilities,83
Union Steel,BLA,UNIS.SI,27.565,82.425,3.1,,Mineral Resources,69
United Food,AZR,UTDF.SI,8.069,1.163,,,Food & Beverages,28
Universal Res,BGO,UNIV.SI,4.185,0.01,,,Energy - Fossil Fuels,41
UnUsUaL,1D1,UNUS.SI,139.968,0.684,,,Cyclical Consumer Services,80
UOA,EH5,UOS.AX,309.466,283.79,11.8,2.16,Real Estate,
UOB,U11,UOBH.SI,48065.672,8204,11.97,4.21,Banking & Investment Services,114
UOB Kay Hian,U10,UOKH.SI,1295.109,627.028,8.37,5.87,Banking & Investment Services,66
UOI,U13,UOIS.SI,406.681,49.939,15.3,2.56,Insurance,75
UOL,U14,UTOS.SI,5970.391,2606.836,19.42,2.12,Real Estate,96
USP Group,BRS,USPG.SI,4.514,39.675,,,Energy - Fossil Fuels,29
UtdHampshReitUSD,ODBU,UNIE.SI,338.772,58.222,7.27,9.83,Real Estate,
V2Y Corp,V2Y,V2YC.SI,11.324,1.089,,,Insurance,71
Vallianz,WPC,VHLD.SI,61.295,62.268,,,Transportation,64
ValueMax,T6I,VAMG.SI,240.985,275.512,5.42,5.45,Retailers,82
Valuetronics,BN2,VLUE.SI,229.076,401.419,6.95,6.49,Technology Equipment,77
VCPlus,43E,VCPL.SI,67.564,0.198,,,Mineral Resources,79
Venture,V03,VENM.SI,5032.438,3107.457,16.12,4.35,Technology Equipment,90
Versalink,40N,VERS.SI,6.415,11.847,,,Industrial & Commercial Services,67
Vertex SPAC,VT1,,,,,,,
Vibrant Group,BIP,VIBR.SI,62.816,182.568,14.17,1.11,Transportation,70
VibroPower,BJD,VIBO.SI,3.664,16.053,1.62,,Utilities,73
VICOM Ltd,WJP,VCOM.SI,723.319,100.892,29.18,3.08,Industrial & Commercial Services,
Vicplas Intl,569,VICP.SI,104.865,120.676,10.21,2.2,Healthcare Services,62
Vividthree,OMK,VIVI.SI,15.975,2.919,,,Cyclical Consumer Services,68
Watches.com Ltd,WVJ,WATC.SI,5.223,25.695,,,Retailers,
Wee Hur,E3B,WHHL.SI,179.696,200.375,249.35,2.6,Industrial & Commercial Services,64
Willas-Array,BDR,0854.HK,344.228,3656.614,3.01,8.25,Technology Equipment,74
Wilmar Intl,F34,WLIL.SI,26169.729,90841.25,9.89,3.76,Food & Beverages,89
Wilton Resources,5F7,WILT.SI,44.114,,,,Mineral Resources,52
Wing Tai,W05,WTHS.SI,1373.494,524.585,75.88,1.73,Real Estate,86
Wong Fong Ind,1A1,WONG.SI,39.95,65.106,12.01,4.71,Industrial Goods,80
World Precision,B49,WPML.SI,140.857,263.633,9.53,7.25,Industrial Goods,49
XMH,BQF,XMHL.SI,16.032,68.753,11.94,,Industrial Goods,61
Y Ventures,1F1,YVEN.SI,8.57,42.139,,,Software & IT Services,69
Yamada Green Res,BJV,YAMR.SI,59.955,12.134,,,Food & Beverages,38
Yanlord Land,Z25,YNLG.SI,2101.86,7169.13,3.81,6.3,Real Estate,78
Yeo Hiap Seng,Y03,YHSS.SI,487.297,337.903,,2.42,Food & Beverages,86
YHI Intl,BPF,YHII.SI,143.225,444.718,6.72,7.35,Automobiles & Auto Parts,59
Ying Li Intl,5DM,YING.SI,132.791,47.093,,,Real Estate,69
Yoma Strategic,Z59,YOMA.SI,304.067,110.402,,,Real Estate,106
Yongmao,BKX,YNMH.SI,63.816,258.911,4.16,1.39,Industrial Goods,65
Yongnam,AXB,YNAM.SI,19.43,121.912,,,Industrial & Commercial Services,71
Yunnan Energy,T43,1298.HK,275.437,84.106,,,Technology Equipment,43
YuuZoo Networks,AFC,YUUZ.SI,30.361,15.733,,,Software & IT Services,-12
YZJ Fin Hldg,YF8,YANZ.SI,1549.89,,,,Banking & Investment Services,
YZJ Shipbldg CNY,SO7,,,,,,,
YZJ Shipbldg SGD,BS6,YAZG.SI,3532.264,3451.062,4.51,5.62,Industrial Goods,61
Zheneng Jinjiang,BWM,ZHEN.SI,551.801,,,,Renewable Energy,64
Zhongmin Baihui,5SR,ZBRG.SI,137.243,220.188,,2.86,Retailers,63
Zhongxin Fruit,5EG,ZHON.SI,25.298,26.89,3.57,,Food & Beverages,64
ZICO Hldgs,40W,ZICO.SI,26.983,21.65,91.19,,Banking & Investment Services,86